COD_DANE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,FECHA1erFIS
91001,91,AMAZONAS,001,LETICIA,03/31/2020
91405,91,AMAZONAS,405,LA CHORRERA,06/15/2020
91407,91,AMAZONAS,407,LA PEDRERA,07/17/2020
91540,91,AMAZONAS,540,PUERTO NARIÑO,04/15/2020
91669,91,AMAZONAS,669,PUERTO SANTANDER,06/24/2020
91798,91,AMAZONAS,798,TARAPACÁ,06/21/2020
05001,05,ANTIOQUIA,001,MEDELLÍN,02/29/2020
05002,05,ANTIOQUIA,002,ABEJORRAL,07/05/2020
05004,05,ANTIOQUIA,004,ABRIAQUÍ,07/06/2020
05021,05,ANTIOQUIA,021,ALEJANDRÍA,07/26/2020
05030,05,ANTIOQUIA,030,AMAGÁ,04/09/2020
05031,05,ANTIOQUIA,031,AMALFI,07/04/2020
05034,05,ANTIOQUIA,034,ANDES,04/04/2020
05036,05,ANTIOQUIA,036,ANGELÓPOLIS,07/27/2020
05038,05,ANTIOQUIA,038,ANGOSTURA,03/18/2020
05040,05,ANTIOQUIA,040,ANORÍ,07/06/2020
05042,05,ANTIOQUIA,042,SANTA FÉ DE ANTIOQUIA,06/05/2020
05044,05,ANTIOQUIA,044,ANZÁ,06/10/2020
05045,05,ANTIOQUIA,045,APARTADÓ,03/14/2020
05051,05,ANTIOQUIA,051,ARBOLETES,05/10/2020
05055,05,ANTIOQUIA,055,ARGELIA,07/16/2020
05059,05,ANTIOQUIA,059,ARMENIA,07/01/2020
05079,05,ANTIOQUIA,079,BARBOSA,04/15/2020
05086,05,ANTIOQUIA,086,BELMIRA,07/09/2020
05088,05,ANTIOQUIA,088,BELLO,03/09/2020
05091,05,ANTIOQUIA,091,BETANIA,07/28/2020
05093,05,ANTIOQUIA,093,BETULIA,06/23/2020
05101,05,ANTIOQUIA,101,CIUDAD BOLÍVAR,06/20/2020
05107,05,ANTIOQUIA,107,BRICEÑO,05/19/2020
05113,05,ANTIOQUIA,113,BURITICÁ,04/01/2020
05120,05,ANTIOQUIA,120,CÁCERES,03/10/2020
05125,05,ANTIOQUIA,125,CAICEDO,06/24/2020
05129,05,ANTIOQUIA,129,CALDAS,03/20/2020
05134,05,ANTIOQUIA,134,CAMPAMENTO,07/02/2020
05138,05,ANTIOQUIA,138,CAÑASGORDAS,05/29/2020
05142,05,ANTIOQUIA,142,CARACOLÍ,06/18/2020
05145,05,ANTIOQUIA,145,CARAMANTA,07/24/2020
05147,05,ANTIOQUIA,147,CAREPA,03/10/2020
05148,05,ANTIOQUIA,148,EL CARMEN DE VIBORAL,04/24/2020
05150,05,ANTIOQUIA,150,CAROLINA,07/14/2020
05154,05,ANTIOQUIA,154,CAUCASIA,05/09/2020
05172,05,ANTIOQUIA,172,CHIGORODÓ,05/27/2020
05190,05,ANTIOQUIA,190,CISNEROS,05/07/2020
05197,05,ANTIOQUIA,197,COCORNÁ,03/30/2020
05206,05,ANTIOQUIA,206,CONCEPCIÓN,07/01/2020
05209,05,ANTIOQUIA,209,CONCORDIA,07/06/2020
05212,05,ANTIOQUIA,212,COPACABANA,03/29/2020
05234,05,ANTIOQUIA,234,DABEIBA,06/02/2020
05237,05,ANTIOQUIA,237,DONMATÍAS,03/26/2020
05240,05,ANTIOQUIA,240,EBÉJICO,06/20/2020
05250,05,ANTIOQUIA,250,EL BAGRE,05/08/2020
05264,05,ANTIOQUIA,264,ENTRERRÍOS,07/01/2020
05266,05,ANTIOQUIA,266,ENVIGADO,03/11/2020
05282,05,ANTIOQUIA,282,FREDONIA,07/07/2020
05284,05,ANTIOQUIA,284,FRONTINO,03/15/2020
05306,05,ANTIOQUIA,306,GIRALDO,05/28/2020
05308,05,ANTIOQUIA,308,GIRARDOTA,05/29/2020
05310,05,ANTIOQUIA,310,GÓMEZ PLATA,07/06/2020
05313,05,ANTIOQUIA,313,GRANADA,04/06/2020
05315,05,ANTIOQUIA,315,GUADALUPE,07/22/2020
05318,05,ANTIOQUIA,318,GUARNE,03/13/2020
05321,05,ANTIOQUIA,321,GUATAPÉ,03/10/2020
05347,05,ANTIOQUIA,347,HELICONIA,06/26/2020
05353,05,ANTIOQUIA,353,HISPANIA,06/07/2020
05360,05,ANTIOQUIA,360,ITAGÜÍ,03/06/2020
05361,05,ANTIOQUIA,361,ITUANGO,05/02/2020
05364,05,ANTIOQUIA,364,JARDÍN,07/25/2020
05368,05,ANTIOQUIA,368,JERICÓ,05/21/2020
05376,05,ANTIOQUIA,376,LA CEJA,03/20/2020
05380,05,ANTIOQUIA,380,LA ESTRELLA,03/14/2020
05390,05,ANTIOQUIA,390,LA PINTADA,07/13/2020
05400,05,ANTIOQUIA,400,LA UNIÓN,07/04/2020
05411,05,ANTIOQUIA,411,LIBORINA,07/06/2020
05425,05,ANTIOQUIA,425,MACEO,05/20/2020
05440,05,ANTIOQUIA,440,MARINILLA,05/16/2020
05467,05,ANTIOQUIA,467,MONTEBELLO,03/19/2020
05475,05,ANTIOQUIA,475,MURINDÓ,06/10/2020
05480,05,ANTIOQUIA,480,MUTATÁ,06/19/2020
05490,05,ANTIOQUIA,490,NECOCLÍ,06/12/2020
05495,05,ANTIOQUIA,495,NECHÍ,05/04/2020
05501,05,ANTIOQUIA,501,OLAYA,07/05/2020
05541,05,ANTIOQUIA,541,PEÑOL,07/09/2020
05543,05,ANTIOQUIA,543,PEQUE,07/03/2020
05579,05,ANTIOQUIA,579,PUERTO BERRÍO,06/24/2020
05585,05,ANTIOQUIA,585,PUERTO NARE,06/27/2020
05591,05,ANTIOQUIA,591,PUERTO TRIUNFO,06/20/2020
05604,05,ANTIOQUIA,604,REMEDIOS,06/19/2020
05607,05,ANTIOQUIA,607,RETIRO,03/07/2020
05615,05,ANTIOQUIA,615,RIONEGRO,03/09/2020
05628,05,ANTIOQUIA,628,SABANALARGA,07/08/2020
05631,05,ANTIOQUIA,631,SABANETA,03/14/2020
05642,05,ANTIOQUIA,642,SALGAR,05/29/2020
05647,05,ANTIOQUIA,647,SAN ANDRÉS DE CUERQUÍA,07/25/2020
05649,05,ANTIOQUIA,649,SAN CARLOS,06/24/2020
05652,05,ANTIOQUIA,652,SAN FRANCISCO,03/22/2020
05656,05,ANTIOQUIA,656,SAN JERÓNIMO,07/06/2020
05658,05,ANTIOQUIA,658,SAN JOSÉ LA MONTAÑA,06/29/2020
05659,05,ANTIOQUIA,659,SAN JUAN DE URABÁ,06/01/2020
05660,05,ANTIOQUIA,660,SAN LUIS,06/30/2020
05664,05,ANTIOQUIA,664,SAN PEDRO LOS MILAGROS,06/27/2020
05665,05,ANTIOQUIA,665,SAN PEDRO DE URABÁ,04/11/2020
05667,05,ANTIOQUIA,667,SAN RAFAEL,06/30/2020
05670,05,ANTIOQUIA,670,SAN ROQUE,05/29/2020
05674,05,ANTIOQUIA,674,SAN VICENTE FERRER,06/26/2020
05679,05,ANTIOQUIA,679,SANTA BÁRBARA,06/21/2020
05686,05,ANTIOQUIA,686,SANTA ROSA DE OSOS,03/16/2020
05690,05,ANTIOQUIA,690,SANTO DOMINGO,06/24/2020
05697,05,ANTIOQUIA,697,EL SANTUARIO,03/25/2020
05736,05,ANTIOQUIA,736,SEGOVIA,06/20/2020
05756,05,ANTIOQUIA,756,SONSÓN,04/03/2020
05761,05,ANTIOQUIA,761,SOPETRÁN,06/24/2020
05789,05,ANTIOQUIA,789,TÁMESIS,05/22/2020
05790,05,ANTIOQUIA,790,TARAZÁ,05/20/2020
05792,05,ANTIOQUIA,792,TARSO,07/09/2020
05809,05,ANTIOQUIA,809,TITIRIBÍ,07/02/2020
05819,05,ANTIOQUIA,819,TOLEDO,07/11/2020
05837,05,ANTIOQUIA,837,TURBO,05/09/2020
05842,05,ANTIOQUIA,842,URAMITA,07/05/2020
05847,05,ANTIOQUIA,847,URRAO,06/24/2020
05854,05,ANTIOQUIA,854,VALDIVIA,05/18/2020
05856,05,ANTIOQUIA,856,VALPARAÍSO,06/26/2020
05858,05,ANTIOQUIA,858,VEGACHÍ,08/13/2020
05861,05,ANTIOQUIA,861,VENECIA,06/22/2020
05873,05,ANTIOQUIA,873,VIGÍA DEL FUERTE,05/30/2020
05885,05,ANTIOQUIA,885,YALÍ,08/29/2020
05887,05,ANTIOQUIA,887,YARUMAL,06/01/2020
05890,05,ANTIOQUIA,890,YOLOMBÓ,05/20/2020
05893,05,ANTIOQUIA,893,YONDÓ,07/21/2020
05895,05,ANTIOQUIA,895,ZARAGOZA,06/23/2020
81001,81,ARAUCA,001,ARAUCA,04/24/2020
81065,81,ARAUCA,065,ARAUQUITA,05/30/2020
81300,81,ARAUCA,300,FORTUL,07/20/2020
81736,81,ARAUCA,736,SARAVENA,05/17/2020
81794,81,ARAUCA,794,TAME,05/28/2020
88001,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",001,SAN ANDRÉS,03/22/2020
88564,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",564,PROVIDENCIA,05/06/2020
08078,08,ATLÁNTICO,078,BARANOA,04/04/2020
08137,08,ATLÁNTICO,137,CAMPO DE LA CRUZ,05/04/2020
08141,08,ATLÁNTICO,141,CANDELARIA,05/04/2020
08296,08,ATLÁNTICO,296,GALAPA,03/17/2020
08372,08,ATLÁNTICO,372,JUAN DE ACOSTA,05/01/2020
08421,08,ATLÁNTICO,421,LURUACO,05/01/2020
08433,08,ATLÁNTICO,433,MALAMBO,04/02/2020
08436,08,ATLÁNTICO,436,MANATÍ,04/16/2020
08520,08,ATLÁNTICO,520,PALMAR DE VARELA,04/13/2020
08549,08,ATLÁNTICO,549,PIOJÓ,05/14/2020
08558,08,ATLÁNTICO,558,POLONUEVO,03/19/2020
08560,08,ATLÁNTICO,560,PONEDERA,03/21/2020
08573,08,ATLÁNTICO,573,PUERTO COLOMBIA,03/15/2020
08606,08,ATLÁNTICO,606,REPELÓN,04/27/2020
08634,08,ATLÁNTICO,634,SABANAGRANDE,03/03/2020
08638,08,ATLÁNTICO,638,SABANALARGA,04/19/2020
08675,08,ATLÁNTICO,675,SANTA LUCÍA,04/22/2020
08685,08,ATLÁNTICO,685,SANTO TOMÁS,03/13/2020
08758,08,ATLÁNTICO,758,SOLEDAD,03/15/2020
08770,08,ATLÁNTICO,770,SUAN,05/26/2020
08832,08,ATLÁNTICO,832,TUBARÁ,05/10/2020
08849,08,ATLÁNTICO,849,USIACURÍ,05/07/2020
08001,08,BARRANQUILLA D.E.,001,BARRANQUILLA,03/06/2020
11001,11,"BOGOTÁ, D.C.",001,"BOGOTÁ, D.C.",02/27/2020
13006,13,BOLÍVAR,006,ACHÍ,06/15/2020
13030,13,BOLÍVAR,030,ALTOS DEL ROSARIO,07/12/2020
13042,13,BOLÍVAR,042,ARENAL,04/27/2020
13052,13,BOLÍVAR,052,ARJONA,03/19/2020
13062,13,BOLÍVAR,062,ARROYOHONDO,06/17/2020
13074,13,BOLÍVAR,074,BARRANCO DE LOBA,03/12/2020
13140,13,BOLÍVAR,140,CALAMAR,04/08/2020
13160,13,BOLÍVAR,160,CANTAGALLO,07/03/2020
13188,13,BOLÍVAR,188,CICUCO,06/07/2020
13212,13,BOLÍVAR,212,CÓRDOBA,06/26/2020
13222,13,BOLÍVAR,222,CLEMENCIA,05/07/2020
13244,13,BOLÍVAR,244,EL CARMEN DE BOLÍVAR,05/24/2020
13248,13,BOLÍVAR,248,EL GUAMO,07/24/2020
13268,13,BOLÍVAR,268,EL PEÑÓN,07/13/2020
13300,13,BOLÍVAR,300,HATILLO DE LOBA,06/24/2020
13430,13,BOLÍVAR,430,MAGANGUÉ,04/30/2020
13433,13,BOLÍVAR,433,MAHATES,05/19/2020
13440,13,BOLÍVAR,440,MARGARITA,07/14/2020
13442,13,BOLÍVAR,442,MARÍA LA BAJA,04/24/2020
13458,13,BOLÍVAR,458,MONTECRISTO,06/18/2020
13468,13,BOLÍVAR,468,MOMPÓS,05/15/2020
13473,13,BOLÍVAR,473,MORALES,06/17/2020
13490,13,BOLÍVAR,490,NOROSÍ,06/30/2020
13549,13,BOLÍVAR,549,PINILLOS,06/02/2020
13580,13,BOLÍVAR,580,REGIDOR,07/15/2020
13600,13,BOLÍVAR,600,RÍO VIEJO,07/25/2020
13620,13,BOLÍVAR,620,SAN CRISTÓBAL,04/05/2020
13647,13,BOLÍVAR,647,SAN ESTANISLAO,06/10/2020
13650,13,BOLÍVAR,650,SAN FERNANDO,08/15/2020
13654,13,BOLÍVAR,654,SAN JACINTO,06/12/2020
13655,13,BOLÍVAR,655,SAN JACINTO DEL CAUCA,07/06/2020
13657,13,BOLÍVAR,657,SAN JUAN NEPOMUCENO,05/23/2020
13667,13,BOLÍVAR,667,SAN MARTÍN DE LOBA,07/21/2020
13670,13,BOLÍVAR,670,SAN PABLO,05/21/2020
13673,13,BOLÍVAR,673,SANTA CATALINA,05/11/2020
13683,13,BOLÍVAR,683,SANTA ROSA,04/17/2020
13688,13,BOLÍVAR,688,SANTA ROSA DEL SUR,05/22/2020
13744,13,BOLÍVAR,744,SIMITÍ,08/10/2020
13760,13,BOLÍVAR,760,SOPLAVIENTO,06/13/2020
13780,13,BOLÍVAR,780,TALAIGUA NUEVO,07/02/2020
13810,13,BOLÍVAR,810,TIQUISIO,06/01/2020
13836,13,BOLÍVAR,836,TURBACO,03/15/2020
13838,13,BOLÍVAR,838,TURBANÁ,04/24/2020
13873,13,BOLÍVAR,873,VILLANUEVA,04/10/2020
13894,13,BOLÍVAR,894,ZAMBRANO,06/17/2020
15001,15,BOYACÁ,001,TUNJA,03/18/2020
15047,15,BOYACÁ,047,AQUITANIA,04/10/2020
15051,15,BOYACÁ,051,ARCABUCO,07/08/2020
15087,15,BOYACÁ,087,BELÉN,07/10/2020
15097,15,BOYACÁ,097,BOAVITA,08/12/2020
15104,15,BOYACÁ,104,BOYACÁ,08/12/2020
15106,15,BOYACÁ,106,BRICEÑO,07/21/2020
15109,15,BOYACÁ,109,BUENAVISTA,05/26/2020
15131,15,BOYACÁ,131,CALDAS,04/22/2020
15162,15,BOYACÁ,162,CERINZA,08/12/2020
15176,15,BOYACÁ,176,CHIQUINQUIRÁ,04/20/2020
15180,15,BOYACÁ,180,CHISCAS,08/03/2020
15183,15,BOYACÁ,183,CHITA,08/06/2020
15185,15,BOYACÁ,185,CHITARAQUE,08/08/2020
15187,15,BOYACÁ,187,CHIVATÁ,08/12/2020
15189,15,BOYACÁ,189,CIÉNEGA,07/31/2020
15204,15,BOYACÁ,204,CÓMBITA,05/01/2020
15212,15,BOYACÁ,212,COPER,05/17/2020
15215,15,BOYACÁ,215,CORRALES,05/22/2020
15218,15,BOYACÁ,218,COVARACHÍA,06/24/2020
15223,15,BOYACÁ,223,CUBARÁ,04/23/2020
15224,15,BOYACÁ,224,CUCAITA,05/05/2020
15226,15,BOYACÁ,226,CUÍTIVA,07/23/2020
15232,15,BOYACÁ,232,CHÍQUIZA,07/20/2020
15238,15,BOYACÁ,238,DUITAMA,04/20/2020
15244,15,BOYACÁ,244,EL COCUY,08/07/2020
15248,15,BOYACÁ,248,EL ESPINO,08/06/2020
15272,15,BOYACÁ,272,FIRAVITOBA,05/27/2020
15293,15,BOYACÁ,293,GACHANTIVÁ,08/11/2020
15296,15,BOYACÁ,296,GÁMEZA,07/31/2020
15299,15,BOYACÁ,299,GARAGOA,03/22/2020
15317,15,BOYACÁ,317,GUACAMAYAS,08/04/2020
15322,15,BOYACÁ,322,GUATEQUE,05/12/2020
15325,15,BOYACÁ,325,GUAYATÁ,06/05/2020
15362,15,BOYACÁ,362,IZA,07/21/2020
15367,15,BOYACÁ,367,JENESANO,08/11/2020
15368,15,BOYACÁ,368,JERICÓ,08/11/2020
15380,15,BOYACÁ,380,LA CAPILLA,08/29/2020
15403,15,BOYACÁ,403,LA UVITA,07/13/2020
15407,15,BOYACÁ,407,VILLA DE LEYVA,04/23/2020
15425,15,BOYACÁ,425,MACANAL,08/23/2020
15442,15,BOYACÁ,442,MARIPÍ,06/28/2020
15455,15,BOYACÁ,455,MIRAFLORES,05/05/2020
15464,15,BOYACÁ,464,MONGUA,08/28/2020
15466,15,BOYACÁ,466,MONGUÍ,07/10/2020
15469,15,BOYACÁ,469,MONIQUIRÁ,04/20/2020
15476,15,BOYACÁ,476,MOTAVITA,07/24/2020
15480,15,BOYACÁ,480,MUZO,04/30/2020
15491,15,BOYACÁ,491,NOBSA,06/23/2020
15494,15,BOYACÁ,494,NUEVO COLÓN,05/17/2020
15500,15,BOYACÁ,500,OICATÁ,03/25/2020
15507,15,BOYACÁ,507,OTANCHE,08/05/2020
15511,15,BOYACÁ,511,PACHAVITA,07/25/2020
15516,15,BOYACÁ,516,PAIPA,04/19/2020
15518,15,BOYACÁ,518,PAJARITO,08/05/2020
15522,15,BOYACÁ,522,PANQUEBA,08/07/2020
15531,15,BOYACÁ,531,PAUNA,05/17/2020
15533,15,BOYACÁ,533,PAYA,05/14/2020
15537,15,BOYACÁ,537,PAZ DE RÍO,08/02/2020
15542,15,BOYACÁ,542,PESCA,07/27/2020
15572,15,BOYACÁ,572,PUERTO BOYACÁ,06/22/2020
15580,15,BOYACÁ,580,QUÍPAMA,07/26/2020
15599,15,BOYACÁ,599,RAMIRIQUÍ,06/19/2020
15600,15,BOYACÁ,600,RÁQUIRA,08/04/2020
15632,15,BOYACÁ,632,SABOYÁ,07/13/2020
15638,15,BOYACÁ,638,SÁCHICA,09/15/2020
15646,15,BOYACÁ,646,SAMACÁ,04/23/2020
15664,15,BOYACÁ,664,SAN JOSÉ DE PARE,07/31/2020
15667,15,BOYACÁ,667,SAN LUIS DE GACENO,08/13/2020
15676,15,BOYACÁ,676,SAN MIGUEL DE SEMA,05/13/2020
15681,15,BOYACÁ,681,SAN PABLO DE BORBUR,07/26/2020
15686,15,BOYACÁ,686,SANTANA,03/13/2020
15690,15,BOYACÁ,690,SANTA MARÍA,08/03/2020
15693,15,BOYACÁ,693,SANTA ROSA DE VITERBO,05/04/2020
15696,15,BOYACÁ,696,SANTA SOFÍA,03/28/2020
15720,15,BOYACÁ,720,SATIVANORTE,08/02/2020
15723,15,BOYACÁ,723,SATIVASUR,08/01/2020
15740,15,BOYACÁ,740,SIACHOQUE,06/25/2020
15753,15,BOYACÁ,753,SOATÁ,07/05/2020
15757,15,BOYACÁ,757,SOCHA,03/23/2020
15759,15,BOYACÁ,759,SOGAMOSO,03/25/2020
15763,15,BOYACÁ,763,SOTAQUIRÁ,07/30/2020
15764,15,BOYACÁ,764,SORACÁ,06/30/2020
15774,15,BOYACÁ,774,SUSACÓN,06/13/2020
15776,15,BOYACÁ,776,SUTAMARCHÁN,05/10/2020
15790,15,BOYACÁ,790,TASCO,05/19/2020
15798,15,BOYACÁ,798,TENZA,03/29/2020
15804,15,BOYACÁ,804,TIBANÁ,06/26/2020
15806,15,BOYACÁ,806,TIBASOSA,07/02/2020
15808,15,BOYACÁ,808,TINJACÁ,05/07/2020
15810,15,BOYACÁ,810,TIPACOQUE,05/11/2020
15814,15,BOYACÁ,814,TOCA,05/26/2020
15816,15,BOYACÁ,816,TOGÜÍ,03/21/2020
15820,15,BOYACÁ,820,TÓPAGA,08/05/2020
15822,15,BOYACÁ,822,TOTA,08/06/2020
15832,15,BOYACÁ,832,TUNUNGUÁ,08/26/2020
15835,15,BOYACÁ,835,TURMEQUÉ,04/27/2020
15837,15,BOYACÁ,837,TUTA,06/24/2020
15842,15,BOYACÁ,842,ÚMBITA,07/22/2020
15861,15,BOYACÁ,861,VENTAQUEMADA,05/07/2020
15879,15,BOYACÁ,879,VIRACACHÁ,05/08/2020
15897,15,BOYACÁ,897,ZETAQUIRA,07/25/2020
76109,76,BUENAVENTURA D.E.,109,BUENAVENTURA,03/23/2020
17001,17,CALDAS,001,MANIZALES,03/12/2020
17013,17,CALDAS,013,AGUADAS,05/01/2020
17042,17,CALDAS,042,ANSERMA,03/27/2020
17050,17,CALDAS,050,ARANZAZU,06/13/2020
17088,17,CALDAS,088,BELALCÁZAR,07/17/2020
17174,17,CALDAS,174,CHINCHINÁ,03/14/2020
17272,17,CALDAS,272,FILADELFIA,08/21/2020
17380,17,CALDAS,380,LA DORADA,03/13/2020
17388,17,CALDAS,388,LA MERCED,07/26/2020
17433,17,CALDAS,433,MANZANARES,05/03/2020
17442,17,CALDAS,442,MARMATO,04/22/2020
17444,17,CALDAS,444,MARQUETALIA,04/27/2020
17446,17,CALDAS,446,MARULANDA,09/02/2020
17486,17,CALDAS,486,NEIRA,05/24/2020
17495,17,CALDAS,495,NORCASIA,04/25/2020
17513,17,CALDAS,513,PÁCORA,07/06/2020
17524,17,CALDAS,524,PALESTINA,07/07/2020
17541,17,CALDAS,541,PENSILVANIA,07/19/2020
17614,17,CALDAS,614,RIOSUCIO,05/01/2020
17616,17,CALDAS,616,RISARALDA,04/20/2020
17653,17,CALDAS,653,SALAMINA,07/15/2020
17662,17,CALDAS,662,SAMANÁ,04/20/2020
17665,17,CALDAS,665,SAN JOSÉ,08/21/2020
17777,17,CALDAS,777,SUPÍA,05/28/2020
17867,17,CALDAS,867,VICTORIA,07/20/2020
17873,17,CALDAS,873,VILLAMARÍA,03/14/2020
17877,17,CALDAS,877,VITERBO,03/15/2020
18001,18,CAQUETÁ,001,FLORENCIA,03/25/2020
18029,18,CAQUETÁ,029,ALBANIA,06/21/2020
18094,18,CAQUETÁ,094,BELÉN DE LOS ANDAQUÍES,07/01/2020
18150,18,CAQUETÁ,150,CARTAGENA DEL CHAIRÁ,06/26/2020
18205,18,CAQUETÁ,205,CURILLO,07/16/2020
18247,18,CAQUETÁ,247,EL DONCELLO,06/26/2020
18256,18,CAQUETÁ,256,EL PAUJÍL,07/01/2020
18410,18,CAQUETÁ,410,LA MONTAÑITA,07/05/2020
18460,18,CAQUETÁ,460,MILÁN,07/17/2020
18479,18,CAQUETÁ,479,MORELIA,07/13/2020
18592,18,CAQUETÁ,592,PUERTO RICO,06/24/2020
18610,18,CAQUETÁ,610,SAN JOSÉ DEL FRAGUA,06/27/2020
18753,18,CAQUETÁ,753,SAN VICENTE DEL CAGUÁN,04/22/2020
18756,18,CAQUETÁ,756,SOLANO,07/13/2020
18785,18,CAQUETÁ,785,SOLITA,06/17/2020
